Last Price,Open Price,Max,Min,Size,Change Persent,Class
16071.0,14826.6,16474.1,14720.7,849.61,0.0838,XRP
18687.2,16074.7,18966.0,15782.3,985.86,0.1628,XRP
17730.7,18394.6,19486.7,16235.2,1.15,0.0512,XRP
19146.5,17729.7,19897.4,17530.4,883.7,0.0799,XRP
18808.9,19146.0,19424.6,17600.1,642.93,0.0176,XRP
23844.0,18808.1,24107.1,18716.8,1.01,0.2677,XRP
26454.4,23843.6,26826.0,22015.5,805.84,0.1095,XRP
32193.3,26460.3,33233.5,25858.2,962.22,0.2169,XRP
40151.9,32192.9,41921.7,28204.5,1.57,0.2472,XRP
36019.5,40149.7,41362.4,30411.6,1.4,0.1029,XRP
32088.9,36020.1,37821.0,28871.2,1.14,0.1091,XRP
34283.1,32088.5,38546.0,29290.4,1.38,0.0684,XRP
39256.6,34281.6,40939.7,32189.9,844.34,0.1451,XRP
47168.7,39228.9,48927.4,37381.6,1.12,0.2016,XRP
55923.7,47172.1,57523.8,45786.1,880.27,0.1856,XRP
46136.7,55907.6,58335.1,44248.2,1.08,0.175,XRP
48855.6,46136.0,52567.9,43100.6,647.9,0.0589,XRP
61195.3,48899.0,61795.8,48890.6,726.92,0.2526,XRP
58093.4,61192.7,61673.7,53342.6,705.78,0.0507,XRP
55862.9,58097.4,58583.8,50441.3,736.81,0.0384,XRP
57059.9,55856.9,60134.9,54711.3,551.09,0.0214,XRP
59748.4,57059.7,61229.0,55489.3,478.37,0.0471,XRP
60041.9,59772.4,64778.0,59250.3,738.1,0.0049,XRP
50088.9,60043.2,60362.1,47659.4,1.12,0.1658,XRP
57807.1,50088.2,58449.4,47098.5,650.34,0.1541,XRP
58840.1,57807.2,59471.1,53741.5,714.62,0.0179,XRP
46708.8,58840.6,59523.9,46331.1,971.69,0.2062,XRP
37448.3,46729.3,49764.3,30261.7,2.1,0.1983,XRP
34584.6,37446.8,40750.0,31192.4,1.36,0.0765,XRP
35520.0,34589.3,39462.3,33441.0,795.23,0.027,XRP
35467.5,35518.7,38340.8,31158.1,955.16,0.0015,XRP
35513.4,35467.5,41318.0,34827.0,869.9,0.0013,XRP
32243.4,35510.9,36097.9,28901.8,1.38,0.0921,XRP
34742.8,32247.1,36590.3,32041.7,644.5,0.0775,XRP
33510.6,34742.8,35957.6,32146.9,538.72,0.0355,XRP
31518.6,33510.8,34598.0,31062.2,444.39,0.0594,XRP
33824.8,31517.9,33955.0,29310.2,547.54,0.0732,XRP
41553.7,34392.5,42285.3,33881.3,772.12,0.2285,XRP
44614.2,41510.0,44697.3,37365.4,480.25,0.0737,XRP
47081.5,44584.9,48090.9,42824.1,603.0,0.0553,XRP
48875.8,47082.6,49719.1,43986.7,404.44,0.0381,XRP
48897.1,48870.4,50498.8,46360.4,455.6,40000.0,XRP
49918.4,48899.7,51008.8,46533.1,503.54,0.0209,XRP
45161.9,49918.7,52885.3,43072.4,635.39,0.0953,XRP
48306.7,45162.6,48761.0,43463.2,428.09,0.0696,XRP
42686.8,48299.9,48341.9,39646.8,682.37,0.1163,XRP
47666.9,42685.8,48435.2,40786.6,486.08,0.1167,XRP
54942.5,47665.4,55977.9,46958.6,506.29,0.1526,XRP
60861.1,54942.5,62892.8,54100.8,628.28,0.1077,XRP
61312.5,60865.5,66967.1,59143.4,545.11,0.0074,XRP
61840.1,61308.2,63694.8,58112.6,449.83,0.0086,XRP
61483.9,61842.2,64256.4,59612.7,375.25,0.0058,XRP
64398.6,61483.8,68990.6,61347.2,451.59,0.0474,XRP
59717.6,64397.2,66311.2,55626.3,521.73,0.0727,XRP
54765.9,59724.0,60002.6,53533.5,512.69,0.0829,XRP
49195.2,54758.0,59174.4,42587.8,485.37,0.1017,XRP
49314.5,49196.4,51918.6,46834.0,470.49,0.0024,XRP
46856.2,49332.5,50779.2,45513.4,446.8,0.0498,XRP
50406.4,46855.7,51795.3,45577.3,343.62,0.0758,XRP
47738.0,50404.0,52016.3,45693.6,391.96,0.0529,XRP
41672.0,47738.7,47944.9,40574.3,446.8,0.1271,XRP
43097.0,41681.2,44404.7,39697.0,391.26,0.0342,XRP
35075.2,43079.2,43487.1,34116.0,541.76,0.1861,XRP
38170.8,35072.9,38862.6,32985.6,630.11,0.0883,XRP
41412.1,38167.5,41899.8,36297.3,451.36,0.0849,XRP
42205.2,41411.9,45755.2,41176.3,473.29,0.0192,XRP
40090.3,42205.5,44722.6,39505.0,376.77,0.0501,XRP
39115.5,40089.6,40120.3,34357.4,635.91,0.0243,XRP
39395.8,39116.6,45294.2,37062.3,6.23,0.0072,XRP
38814.3,39396.3,42538.5,37182.1,20.31,0.0148,XRP
42233.0,38813.2,42386.0,37603.4,17.07,0.0881,XRP
44548.0,42241.0,45112.0,40530.0,3.16,0.0548,XRP
45811.0,44542.0,48199.0,44261.0,3.66,0.0284,XRP
42767.0,45813.0,47435.0,42113.0,3.23,0.0664,XRP
40382.0,42760.0,43421.0,39202.0,2.49,0.0558,XRP
39418.0,40382.0,42969.0,38577.0,2.66,0.0239,XRP
37650.0,39434.0,40770.0,37596.0,3.35,0.0449,XRP
35468.0,37642.0,40021.0,34773.0,4.43,0.058,XRP
30080.4,35468.0,35497.0,26500.5,672.43,0.1519,XRP
29434.6,30078.6,31383.8,28648.1,630.05,0.0215,XRP
29027.1,29433.0,30644.8,28077.9,658.54,0.0138,XRP
29864.3,29027.1,32377.5,28838.7,610.88,0.0288,XRP
28403.4,29865.1,31753.4,28161.8,614.26,0.0489,XRP
18986.5,28404.0,28534.8,17630.5,1.44,0.3315,XRP
21489.9,18983.4,21689.3,17983.7,889.96,0.1319,XRP
19243.2,21489.9,21837.4,18682.7,742.87,0.1045,XRP
21587.5,19243.4,22482.1,18794.4,1.39,0.1218,XRP
21209.9,21587.4,21599.2,18942.2,1.31,0.0175,XRP
22460.4,21209.8,24258.0,20755.2,1.61,0.059,XRP
23634.2,22449.8,24605.3,20737.3,1.49,0.0523,XRP
22944.2,23634.2,24179.3,22438.7,1.25,0.0292,XRP
24442.5,22944.2,24882.9,22714.7,1.39,0.0653,XRP
21138.9,24442.1,25205.7,20784.8,1.73,0.1352,XRP
20033.9,21138.9,21832.3,19849.8,1.7,0.0523,XRP
19831.4,20034.2,20558.2,19542.9,1.85,0.0101,XRP
21650.4,19832.2,21790.6,18548.4,2.38,0.0917,XRP
20113.5,21650.4,22702.5,19352.9,2.58,0.071,XRP
